Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
shy2-2,15,1,4,0.005,0.395,0.75,1.25,0.5,0.4,40,,
shy2-2,15,2,1,0.01,0.33,0.69,1.15,0.46,0.34,34,,
shy2-2,15,2,2,0.005,0.21,0.93,1.88,0.95,0.215,21.5,,
shy2-2,15,2,3,0.005,0.29,0.935,1.45,0.515,0.295,29.5,,
shy2-2,15,3,1,0.01,0.3,0.88,1.43,0.55,0.31,31,,
shy2-2,15,3,2,0.005,0.365,0.75,1.32,0.57,0.37,37,,
,,,,,,,,,,,Toss-very abnormal,
shy2-2,15,3,4,0.005,0.24,0.84,1.5,0.66,0.245,24.5,0.796818182,
spy-3,15,1,1,0.005,0.227,0.82,1.8,0.98,0.232,23.2,,
spy-3,15,1,2,0.005,0.263,0.99,2.39,1.4,0.268,26.8,,
spy-3,15,1,3,0.02,0.241,0.815,1.57,0.755,0.261,26.1,,
spy-3,15,1,4,0.028,0.325,0.92,2.14,1.22,0.353,35.3,,
spy-3,15,2,1,0.005,0.325,0.93,1.77,0.84,0.33,33,,
spy-3,15,2,3,0.02,0.29,1.1,2.02,0.92,0.31,31,,
spy-3,15,2,4,0.005,0.231,0.7,1.26,0.56,0.236,23.6,,
spy-3,15,3,1,0.03,0.229,0.72,1.5,0.78,0.259,25.9,,
spy-3,15,3,2,0.003,0.29,0.97,1.93,0.96,0.293,29.3,,
spy-3,15,3,4,0.07,0.245,0.7,1.77,1.07,0.315,31.5,0.8665,
spy-8,15,1,1,0.005,0.21,1.07,1.96,0.89,0.215,21.5,,
spy-8,15,1,2,0.035,0.27,1.21,1.83,0.62,0.305,30.5,,
spy-8,15,1,3,0.005,0.37,1.3,1.9,0.6,0.375,37.5,,
spy-8,15,1,4,0.023,0.265,1.36,2.33,0.97,0.288,28.8,,
spy-8,15,2,1,0.025,0.208,0.875,1.28,0.405,0.233,23.3,,
spy-8,15,2,2,0.005,0.227,0.82,1.8,0.98,0.232,23.2,,
spy-8,15,2,3,0.04,0.39,1,1.06,0.06,0.43,43,,
spy-8,15,2,4,0.005,0.227,0.82,1.8,0.98,0.232,23.2,,
spy-8,15,3,1,0.025,0.37,1.34,1.78,0.44,0.395,39.5,,
spy-8,15,3,2,0.005,0.213,1.07,2.41,1.34,0.218,21.8,,
spy-8,15,3,3,0.005,0.26,1.15,2.45,1.3,0.265,26.5,,
spy-8,15,3,4,0.03,0.4,1.3,1.73,0.43,0.43,43,1.02875,0.199527377
Tsu-0,15,1,1,0.008,0.22,0.75,2.54,1.79,0.228,22.8,,
Tsu-0,15,1,2,0.015,0.225,1.1,2.47,1.37,0.24,24,,
Tsu-0,15,1,3,0.005,0.275,0.77,2.22,1.45,0.28,28,,
Tsu-0,15,1,4,0.02,0.252,1,2.44,1.44,0.272,27.2,,
Tsu-0,15,2,1,0.01,0.225,0.99,2.3,1.31,0.235,23.5,,
Tsu-0,15,2,2,0.01,0.268,0.96,2.25,1.29,0.278,27.8,,
Tsu-0,15,2,3,0.005,0.28,0.84,1.93,1.09,0.285,28.5,,
Tsu-0,15,2,4,0.01,0.3,1.06,2.12,1.06,0.31,31,,
Tsu-0,15,3,1,0.01,0.27,0.99,2.4,1.41,0.28,28,,
Tsu-0,15,3,2,0.01,0.305,0.87,1.97,1.1,0.315,31.5,,
Tsu-0,15,3,3,0.022,0.255,1.34,2.6,1.26,0.277,27.7,,
Tsu-0,15,3,4,0.022,0.298,0.95,2.38,1.43,0.32,32,0.968333333,
35S::PIF4,25,1,1,0.01,0.45,0.64,1.9,1.26,0.46,46,,
35S::PIF4,25,1,2,0.01,0.45,0.62,2.2,1.58,0.46,46,,
35S::PIF4,25,1,3,0.005,0.465,0.68,2.29,1.61,0.47,47,,
35S::PIF4,25,1,4,0.01,0.434,0.63,2.08,1.45,0.444,44.4,,
35S::PIF4,25,2,1,0.009,0.455,0.52,2.18,1.66,0.464,46.4,,
35S::PIF4,25,2,2,0.031,0.535,0.5,1.97,1.47,0.566,56.6,,
35S::PIF4,25,3,1,0.066,0.465,0.58,1.62,1.04,0.531,53.1,,
35S::PIF4,25,3,2,0.015,0.49,0.55,1.83,1.28,0.505,50.5,,
35S::PIF4,25,3,3,0.015,0.47,0.57,1.86,1.29,0.485,48.5,,
35S::PIF4,25,3,4,0.01,0.44,0.66,2.24,1.58,0.45,45,,
35S::PIF4,25,3,5,0.03,0.47,0.61,1.8,1.19,0.5,50,0.596363636,
