Plate,Individual,Genotype,Temperature,Laterals,Cell_Length,Root_Growth,Cell_Production
3,1,spy-3,15C,,0.093,2.03655452,21.8984357
3,2,spy-3,15C,,0.122,2.8273662,23.17513279
3,3,spy-3,15C,,0.176,5.9982633,34.08104148
3,4,spy-3,15C,,0.116,3.2008263,27.59333017
3,5,spy-3,15C,,0.103,3.393746,32.94899029
3,6,spy-3,15C,,0.091,2.0002638,21.98092088
3,7,spy-3,15C,,0.088,1.928364,21.91322727
1,1,spy-3,25C,,0.188,15.283761,81.29660106
1,2,spy-3,25C,,0.178,15.9928371,89.84739944
1,3,spy-3,25C,,0.156,11.029371,70.70109615
1,4,spy-3,25C,,0.161,14.92837,92.72279503
1,5,spy-3,25C,,0.16,14.029491,87.68431875
1,6,spy-3,25C,,0.193,16.829371,87.19881347
2,1,spy-3,25C,,0.187,14.9927361,80.17505936
2,2,spy-3,25C,,0.166,11.6627361,70.25744639
2,3,spy-3,25C,,0.166,14.203862,85.56543373
2,4,spy-3,25C,,0.153,12.882937,84.20220261
2,5,spy-3,25C,,0.155,11.0927361,71.56603935
2,6,spy-3,25C,,0.167,12.029371,72.03216168
2,7,spy-3,25C,,0.192,15.992731,83.29547396
2,8,spy-3,25C,,0.149,12.928361,86.76752349
3,1,spy-3,25C,,0.152,11.2837201,74.23500066
3,2,spy-3,25C,,0.186,15.827351,85.09328495
3,3,spy-3,25C,,0.176,11.228361,63.79750568
